,Car Brand,Varient,Year released,car_transmission,Kilometers_travelled,owned,fuel_varient,price,emi_available
0,Volkswagen,Polo,2021,Manual,"2,814",1st,Petrol,"₹6,76,999","₹13,235/month"
1,Hyundai,i10,2010,Manual,"51,606",2nd,Petrol,"₹2,46,499","₹4,819/month"
2,Hyundai,i10,2014,Manual,"18,897",1st,Petrol,"₹3,51,399","₹6,870/month"
3,Maruti,Swift,2021,Manual,"82,591",1st,Petrol,"₹6,81,399","₹13,321/month"
4,Hyundai,i10,2012,Manual,"39,515",1st,Petrol,"₹3,13,899","₹6,137/month"
5,Maruti,Alto  K10,2017,Manual,"89,973",2nd,Petrol,"₹3,04,699","₹5,957/month"
6,Maruti,Alto  800,2013,Manual,"32,345",2nd,Petrol,"₹2,67,899","₹5,237/month"
7,Honda,City,2010,Manual,"71,164",2nd,Petrol,"₹4,59,599","₹8,985/month"
8,Hyundai,i10,2011,Manual,"61,657",1st,Petrol,"₹3,07,299","₹6,008/month"
9,Maruti,Swift,2020,Manual,"9,929",2nd,Petrol,"₹6,52,199","₹12,751/month"
10,Maruti,Swift  Dzire,2013,Manual,"47,478",2nd,Diesel,"₹4,90,599","₹9,591/month"
11,Hyundai,i20,2011,Manual,"44,456",3rd,Petrol,"₹3,64,199","₹7,120/month"
12,Volkswagen,Polo,2019,Manual,"58,597",1st,Petrol,"₹5,71,749","₹11,178/month"
13,Maruti,Alto  K10,2015,Manual,"2,35,466",1st,Petrol,"₹2,57,299","₹5,030/month"
14,Maruti,Alto  K10,2011,Manual,"46,121",1st,Petrol,"₹2,30,099","₹4,498/month"
15,Renault,Kwid,2019,Manual,"39,106",1st,Petrol,"₹3,80,499","₹7,439/month"
16,Hyundai,i10,2012,Automatic,"68,072",2nd,Petrol,"₹3,81,199","₹7,453/month"
17,Maruti,Swift,2021,Manual,"45,155",1st,Petrol,"₹7,12,399","₹13,928/month"
18,Maruti,Swift,2012,Manual,"85,384",1st,Petrol,"₹4,04,199","₹7,902/month"
19,Volkswagen,Polo,2016,Manual,"79,315",2nd,Petrol,"₹5,14,999","₹10,068/month"
20,Hyundai,i10,2012,Automatic,"46,988",2nd,Petrol,"₹3,90,699","₹7,638/month"
21,Maruti,Alto  K10,2018,Manual,"6,593",1st,Petrol,"₹4,00,199","₹7,824/month"
22,Maruti,Swift,2021,Manual,"23,957",1st,Petrol,"₹8,79,199","₹16,510/month"
24,Volkswagen,Polo,2019,Manual,"59,938",1st,Petrol,"₹5,80,799","₹11,355/month"
25,Renault,Kwid,2019,Manual,"45,777",1st,Petrol,"₹4,23,899","₹8,287/month"
26,Volkswagen,Polo,2019,Manual,"55,704",1st,Petrol,"₹5,85,499","₹11,447/month"
27,Hyundai,i10,2012,Automatic,"72,233",3rd,Petrol,"₹3,89,599","₹7,617/month"
28,Hyundai,Grand  i10,2016,Manual,"11,481",2nd,Petrol,"₹4,87,599","₹9,533/month"
29,Hyundai,Creta,2016,Manual,"59,687",1st,Diesel,"₹11,07,099","₹20,790/month"
30,Volkswagen,Polo,2019,Manual,"94,434",2nd,Petrol,"₹5,35,099","₹10,461/month"
31,Maruti,Swift,2015,Manual,"89,068",2nd,Diesel,"₹5,31,599","₹10,393/month"
32,Datsun,Go,2015,Manual,"53,902",1st,Petrol,"₹2,92,099","₹5,711/month"
